ID,Sub-ID,Discoverer,Date discovered,Solution
9,9,Corina Miner,2018-10-02,222002220000555aa77b5553aaa77bb33361a1177bbb3366111888884446699999984446
9,10,Corina Miner,2018-10-02,222002220000555aa773555baaa77333bb61a117733bbb66111888884446699999984446
9,11,Corina Miner,2018-10-02,22200222000055599777555b99833777bb699883333bbb66888a111144466aaaaa114446
9,12,Corina Miner,2018-10-02,222002220000555aa777555baaa33777bb61a113333bbb66111888884446699999984446
10,1,Corina Miner,,2221122271111004777700004444b7666635554bb66a3333555bbbaaaaa8399999988888
10,2,Corina Miner,2014-02-19,2221122271111004777700004444b7633335554bb6633a88555bbb66aaa889999996aa88
10,3,Corina Miner,2014-02-19,2221122271111004777700004444b7338885554bb333aa88555bbb663aaa89999996666a
10,4,Corina Miner,2014-02-19,2221122271111004777700004444b7888885554bb38aaaaa555bbb3333a6699999936666
10,5,Corina Miner,2014-02-19,2221122271111004777700004444b788aa65554bb88aaa66555bbb88a336699999933336
10,6,Corina Miner,2014-02-19,2221122271111004777700004444b7a66665554bb8aaa366555bbb88aa33399999988833
10,7,Corina Miner,2014-02-19,2221122271111004777700004444b76666a5554bb663aaa8555bbb333aa8899999933888
10,8,Corina Miner,2014-02-19,2221122271111004777700004444b76aa885554bb66aaa88555bbb6633a8899999963333
10,9,Corina Miner,2014-02-19,2221122271111004777700004444b7888885554bbaaaaa83555bbb66a333399999966663
10,10,Corina Miner,2014-02-19,2221122271111004777700004444b7888335554bb88aa333555bbb8aaa366999999a6666
10,11,Corina Miner,2014-02-19,2221122271111004777700004444b7333365554bb88a3366555bbb88aaa6699999988aa6
10,12,Corina Miner,2014-02-19,2221122271111004777700004444b7366665554bb3333a66555bbb38aaaaa99999988888
10,13,Corina Miner,2014-02-22,1112121172222004777700004444b7666635554bb66a3333555bbbaaaaa8399999988888
10,14,Corina Miner,2014-02-22,1112121172222004777700004444b7633335554bb6633a88555bbb66aaa889999996aa88
10,15,Corina Miner,2014-02-22,1112121172222004777700004444b7338885554bb333aa88555bbb663aaa89999996666a
